class,mult,type,subtype,density,ilp2,lp2,lp1
C,3,6,7,0.7,2282,3118.656396892038,3117.3574144486697
C,3,1,10,0.2,590,639.8345496552375,613.8157894736843
C,3,7,5,0.5,3110,3119.9378862231524,3119.563492063492
C,3,8,9,0.1,3110,3119.996792137669,3119.96015936255
C,3,4,8,0.5,570,671.7509075318463,665.4347826086957
C,3,4,6,0.5,577,669.895306029954,662.1739130434783
C,3,8,8,0.5,3110,3120,3119.8207171314743
C,3,2,5,0.4,570,650.0271669978076,626.3636363636361
C,3,1,8,0.1,590,606.5510196852314,598.25
C,3,4,10,0.7,540,668.0231410580084,662.1739130434783
C,3,7,10,0.9,1783,3119.4662008697674,3118.5797665369655
C,3,6,3,0.6,3040,3119.3141895767485,3118.180076628352
C,3,7,3,0.8,2229,3119.4850416910936,3118.76953125
C,3,3,8,0.2,630,660.3191637661695,649.4000000000001
C,3,1,4,0.3,570,619.0263355632956,600.125
C,3,6,8,0.5,3082,3119.2071168470693,3118.1297709923665
C,3,1,10,0.4,555,638.8588895894451,613.8157894736843
C,3,3,7,0.2,620,653.9459522065463,636.6071428571429
C,3,7,9,0.3,3110,3119.7748647316207,3119.1372549019616
C,3,8,1,0.1,3110,3119.9999999999995,3119.9203187250996
C,3,2,2,0.1,620,639.9877774581291,627.96875
C,3,7,2,0.6,3078,3119.8648704682287,3119.3307086614172
C,3,7,9,0.6,3080,3119.769351299447,3119.1372549019607
C,3,6,3,0.9,1478,3119.3180100139507,3118.1800766283523
C,3,6,1,0.7,2469,3119.028243573857,3117.843511450381
C,3,2,1,0.3,587,643.8627550525644,625.3125
C,3,7,1,0.3,3110,3119.905622639962,3119.5454545454545
C,3,3,9,0.5,560,661.9445409023322,647.6923076923076
C,3,2,9,0.9,396,629.5381549875713,610.7142857142857
C,3,7,10,0.2,3110,3119.4576283843408,3118.579766536966
C,3,2,5,0.5,550,649.8606948493361,626.3636363636363
C,3,7,2,0.5,3100,3119.865616955166,3119.330708661417
C,3,4,9,0.5,579,671.7685442768501,664.9999999999998
C,3,3,7,0.8,515,653.7990980288429,636.6071428571428
C,3,3,3,0.4,580,662.7954435764395,647.7777777777774
C,3,6,6,0.6,2863,3118.711250938612,3117.6153846153843
C,3,6,10,0.7,2341,3119.6221969743992,3118.167938931297
C,3,3,3,0.2,620,662.7609399040383,647.7777777777778
C,3,2,7,0.9,396,647.4767934296947,627.65625
C,3,2,2,0.6,537,640.0969885601576,626.0000000000001
C,3,4,4,0.5,578,667.8818692011823,659.1304347826086
C,3,8,9,0.8,2667,3119.989887022722,3119.7023809523816
C,3,2,1,0.2,600,643.8346030891474,625.3125
C,3,7,10,0.4,3110,3119.470874039022,3118.579766536965
C,3,8,10,0.2,3110,3119.9133076156836,3119.7222222222217
C,3,6,8,0.6,3064,3119.211196788309,3118.1297709923665
C,3,7,6,0.9,1703,3119.540232161479,3119.0784313725494
C,3,4,8,0.6,558,671.7567881287106,665.4347826086955
C,3,1,8,0.2,570,603.6644084595732,587.2727272727273
C,3,5,10,0.2,3108,3116.017041191531,3112.7891156462583
C,3,1,8,0.8,431,604.7842003948842,586.8181818181819
C,3,5,2,0.8,1524,3116.6181834488866,3113.7370242214533
C,3,3,2,0.1,640,664.7309964992298,651.1111111111111
C,3,7,1,0.9,1907,3119.9025673123465,3119.5454545454545
C,3,2,3,0.3,590,652.5693729583223,628.59375
C,3,7,10,0.1,3110,3119.4744393287683,3119.140625
C,3,8,7,0.1,3110,3119.9519963913294,3119.840637450199
C,3,1,2,0.7,495,619.5301590663088,597.4418604651163
C,3,4,9,0.4,600,671.7619795811873,665
C,3,8,2,0.2,3110,3119.7190842795826,3119.5044598612485
C,3,2,9,0.4,560,629.7131333327876,610.7142857142858
